LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote
,,Pice_sp,,Pice sppx,Picea spp x,,,,,,FALSE,Conifer,spruce,,class3,S,,,PICE_SP,,100,
pinualbi,,Pinu_alb,Pinu_Alb,Pinu albi,Pinus albicaulis,Wh pine,Whitebark pine,Whitebark pine leading,,Pinu_Alb,FALSE,Conifer,,,class3,Pa,Pa,,PINU_ALB,,206,
pinubank,PINU.BAN,Pinu_ban,Pinu_Ban,Pinu bank,Pinus banksiana,Jk pine,Jack pine,Jack pine leading,,Pinu_Ban,FALSE,Conifer,jack pine,C3,class3,Pj,Pj,JP,PINU_BAN,PIG,203,
pinuconcon,PINU.CON.CON,Pinu_con,,Pinu cont,Pinus contorta var. contorta,Sh pine,Shore pine,Shore pine leading,,Pinu_Con,FALSE,Conifer,lodgepole pine,,class3,Plc,,,PINU_CON,,204,
,PINU.CON.LAT,Pinu_con,Pinu_Con,Pinu cont,Pinus contorta,Lg pine,Lodgepole pine,Lodgepole pine leading,Pinus contorta latifolia is a synonym of var. latifolia,Pinu_Con,FALSE,Conifer,lodgepole pine,C3,class3,Pli,Pl,,PINU_CON,,204,
pinuflex,,Pinu_fle,Pinu_Fle,Pinu flex,Pinus flexilis,Pine,Pine,Pine leading,,,FALSE,Conifer,,,class3,Pf,Pf,,PINU_FLE,,213,
,,Pinu_lam,,Pinu lamb,Pinus lambertiana,Pine,Pine,Pine leading,,,FALSE,Conifer,,,class3,,,,PINU_LAM,,200,generic pine code
,,Pinu_mon,Pinu_Mon,Pinu mont,Pinus monticola,Ww pine,Western white pine,Western white pine leading,,Pinu_Mon,FALSE,Conifer,,,class3,Pxj,,,PINU_MON,,201,
,,Pinu_mur,,Pinu murx,Pinus x murraybanksiana,Pine,Pine,Pine leading,,,FALSE,Conifer,,,,,,,PINU_MUR,,216,
,,Pinu_nig,,Pinu nigr,Pinus nigra,Pine,Pine,Pine leading,,,FALSE,Conifer,,,,,,,PINU_NIG,,200,generic pine code
pinupon,PINU.PON,Pinu_pon,Pinu_Pon,Pinu pond,Pinus ponderosa,Pine,Pine,Pine leading,,,FALSE,Conifer,ponderosa pine,C7,class3,Py,,,PINU_PON,,208,
,,Pinu_rad,,Pinu radi,Pinus radiata,Pine,Pine,Pine leading,,,FALSE,Conifer,,,,,,,PINU_RAD,,200,generic pine code
pinuresi,PINU.RES,Pinu_res,Pinu_Res,Pinu resi,Pinus resinosa,Rd pine,Red pine,Red pine leading,,Pinu_Res,FALSE,Conifer,red pine,C5,class3,,,RP,PINU_RES,PIR,209,
,,Pinu_rig,Pinu_Rig,Pinu rigi,Pinus rigida,Pine,Pine,Pine leading,,,FALSE,Conifer,,,,,,,PINU_RIG,PID,210,
,,Pinu_sp,Pinu_Spp,Pinu spp,Pinus spp.,Pine,Pine,Pine leading,,Pinu_Spp,FALSE,Conifer,,,class3,,,,PINU_SP,,200,
